ts	script	domain	summary
2026-07-14T16:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T21:05:29Z	orchestrator	all	observation only | Delphi is not advancing: leakers.tsv rows 2-5 contain four candidate seeds with zero calls, while signals.tsv and positions.tsv contain headers only. The only recorded run is results.tsv:2, reporting
2026-07-14T22:00:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:04:49Z	orchestrator	all	observation only | At 2026-07-14T22:04:19Z, Delphi is still stuck before qualification: leakers.tsv rows 2-5 contain four candidate seeds with zero calls, while signals.tsv, positions.tsv, and explorer-history.tsv conta
2026-07-14T22:07:05Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-14T22:10:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-14T22:20:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:40:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:04:42Z	orchestrator	all	observation only | Delphi remains before qualification: leakers.tsv rows 2–5 contain four candidate seeds, all with n_calls=0. explorer-history.tsv rows 2–5 all report retryable_error because EXA_API_KEY is unavailable,
2026-07-14T23:10:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:20:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:40:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T00:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T00:05:33Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 contains four candidate seeds with n_calls=0, while signals.tsv, positions.tsv, and resolved.tsv contain headers only. explorer-history.tsv
2026-07-15T01:05:09Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 are all candidates with n_calls=0, while explorer-history.tsv:2-5 are retryable_error because EXA_API_KEY is unavailable. signals.tsv, posi
2026-07-15T01:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T02:05:24Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: leakers.tsv rows 2–5 are candidates with n_calls=0. explorer-history.tsv rows 2–5 report retryable_error because EXA_API_KEY is unavailable. sig
2026-07-15T03:04:10Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. All explorer history rows remain retryable_error b
2026-07-15T04:04:16Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are still candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. Every explorer history row is retryable_erro
2026-07-15T04:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T04:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-15T05:04:17Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and all four explorer-history rows are retryable_error because
2026-07-15T06:04:50Z	orchestrator	all	observation only | Delphi is still blocked before qualification: all four seeded leakers remain candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_
2026-07-15T07:04:12Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), while signals, positions, and resolved contain headers only. E
2026-07-15T07:07:06Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T08:04:09Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). The latest explorer run proposed zero candida
2026-07-15T09:04:15Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_API_
2026-07-15T10:04:02Z	orchestrator	all	observation only | Delphi is still blocked before qualification: all four seeded leakers remain candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_
2026-07-15T10:07:05Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T10:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-15T11:04:12Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error
2026-07-15T12:04:13Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded X leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_AP
2026-07-15T13:04:17Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded X leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retryable_error because EXA_AP
2026-07-15T13:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T14:05:13Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded X leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because
2026-07-15T15:04:01Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded X leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv rows 2-5. Every explorer-history row is retryable_error because
2026-07-15T16:04:53Z	orchestrator	all	observation only | Delphi remains before qualification: all four seeded leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. Every explorer history row reports retryable_error because EXA_API_KE
2026-07-15T16:07:09Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T16:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-15T17:04:23Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). The latest explorer run proposed zero candidates because EXA_A
2026-07-15T18:04:10Z	orchestrator	all	observation only | Delphi remains before historical qualification: all four seeded leakers in domains/ai-releases/leakers.tsv:2-5 are candidates with n_calls=0. All explorer-history rows 2-5 are retryable_error because
2026-07-15T19:04:44Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded X leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. Every explorer-history row reports retryable_error because
2026-07-15T19:07:05Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T20:04:07Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). The configured X backend is Exa (config.json:83-94)
2026-07-15T21:04:03Z	orchestrator	all	observation only | Delphi remains before historical qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retryable_error because EXA_A
2026-07-15T22:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T22:04:40Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EX
2026-07-15T22:07:08Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T22:10:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T22:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-15T22:20:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T22:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T22:40:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T22:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:04:08Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and the roster is empty (ledger/results.tsv:53,56,58-62). All
2026-07-15T23:10:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:20:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:40:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T23:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T00:00:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T00:04:08Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_API_
2026-07-16T04:17:01Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-16T05:04:30Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and all explorer-history rows are retryable missing-credential
2026-07-16T06:04:22Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history attempts are retryable errors because EXA
2026-07-16T07:05:25Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retryable missing-credential fai
2026-07-16T07:07:15Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T08:05:06Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). The latest explorer run and all explorer-history rows re
2026-07-16T09:04:59Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv rows 2-5 contain four candidates, all with n_calls=0. explorer-history.tsv rows 2-5 and the latest explorer note report retryable EXA_API_KEY f
2026-07-16T10:04:15Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retryable EXA_API_KEY failures (
2026-07-16T10:07:06Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T10:17:01Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-16T11:04:33Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable because EXA_API_KEY is
2026-07-16T12:04:28Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history attempt is retryable because EXA_API_KE
2026-07-16T13:04:33Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. Every explorer-history row is retryable_error because EXA_API
2026-07-16T13:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T14:04:26Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and heartbeat logs confirm an empty roster (ledger/results.tsv
2026-07-16T15:04:48Z	orchestrator	all	observation only | Delphi remains before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and heartbeat records an empty roster (ledger/results.tsv:53,56,58-69)
2026-07-16T16:04:54Z	orchestrator	all	observation only | Delphi remains before qualification: four candidate seeds have n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Explorer history is blocked by missing EXA_API_KEY (domains/ai-releases/explorer-history
2026-07-16T16:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T16:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-16T17:04:27Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Exa is configured as the X backend (config.json:83-94), while
2026-07-16T18:04:30Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Explorer history has four retryable EXA_API_KEY failures (doma
2026-07-16T19:04:23Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history attempts are retryable EXA_API
2026-07-16T19:07:08Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T20:04:18Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_API_
2026-07-16T21:04:11Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 contains four candidates, all with n_calls=0. explorer-history.tsv:2-5 contains four retryable EXA_API_KEY failures; config.json:83-94 sele
2026-07-16T22:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T22:04:22Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retryable EXA_API_KEY failures (
2026-07-16T22:07:06Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-16T22:10:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T22:17:01Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-16T22:20:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T22:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T22:40:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T22:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:04:08Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable because EXA_API_
2026-07-16T23:10:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:20:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:40:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-16T23:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-17T00:00:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-17T00:04:15Z	orchestrator	all	observation only | Delphi remains blocked before qualification: domains/ai-releases/leakers.tsv:2-5 contain four candidates, all with n_calls=0. explorer-history.tsv:2-5 are retryable errors because EXA_API_KEY is unava
2026-07-17T01:04:30Z	orchestrator	all	observation only | Delphi remains blocked before qualification: `domains/ai-releases/leakers.tsv:2-5` contains four candidates, all with `n_calls=0`. All historical attempts are retryable `EXA_API_KEY is unavailable` er
2026-07-17T01:07:08Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-17T02:04:08Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). The latest explorer attempts all failed retryably because EXA_
2026-07-17T03:04:32Z	orchestrator	all	observation only | Kickstart remains active through 2026-07-19 (config.json:21-23), but all four seeded leakers remain candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retry
2026-07-17T04:04:41Z	orchestrator	all	observation only | Kickstart remains active through 2026-07-19 (`config.json:21-23`), but all four seeded leakers remain candidates with n_calls=0 (`domains/ai-releases/leakers.tsv:2-5`). Every explorer-history row is r
2026-07-17T04:07:06Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-17T04:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-17T05:04:36Z	orchestrator	all	observation only | The goal remains blocked: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and signals, positions, and resolved contain headers only. Kickstart remains acti
2026-07-17T06:04:08Z	orchestrator	all	observation only | Kickstart remains active through 2026-07-19 (config.json:21-23), but all four seeded leakers remain candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). All explorer-history rows are retry
2026-07-17T07:04:56Z	orchestrator	all	observation only | Qualification remains blocked: domains/ai-releases/leakers.tsv:2-5 contains four candidates, all with n_calls=0. explorer-history.tsv:2-5 records retryable EXA_API_KEY failures, repeated in agents/exp
2026-07-17T07:07:51Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-17T08:04:33Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are still candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), while kickstart remains active through 2026-0
2026-07-17T09:04:14Z	orchestrator	all	observation only | The roster remains unqualified: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Historical qualification is blocked because every explorer-history row is a
2026-07-17T10:04:36Z	orchestrator	all	observation only | The roster remains unqualified: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Historical qualification is blocked by four retryable EXA_API_KEY failures
2026-07-17T10:07:07Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-17T10:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-17T11:04:25Z	orchestrator	all	observation only | Qualification remains blocked: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), while kickstart remains active through 2026-07-19 (config.json:21-23). Explo
2026-07-17T12:04:28Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 contains four candidates, all with n_calls=0, while kickstart remains active through 2026-07-19 (config.json:21-23). explorer-history.tsv:2
2026-07-17T13:04:38Z	orchestrator	all	observation only | Qualification remains blocked: leakers.tsv:2-5 contains four candidates, all with n_calls=0. explorer-history.tsv:2-5 are retryable EXA_API_KEY failures, while signals.tsv, positions.tsv, and resolved
2026-07-17T13:07:06Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-17T14:04:09Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 contains four candidates, all with n_calls=0, while kickstart remains active through 2026-07-19 (config.json:21-23). explorer-history.tsv:2
2026-07-17T15:04:18Z	orchestrator	all	observation only | Qualification remains blocked: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), while kickstart remains active through 2026-07-19 (config.json:21-23). All f
